[12, 50;
]
[13, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
18, 0;
15, 0;
18, 0;
16, 0;
16, 0;
16, 0;
17, 0;
15, 0;
16, 0;
13, 0;
14, 0;
18, 0;
14, 0;
16, 0;
18, 0;
16, 0;
16, 0;
16, 0;
14, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
17, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
15, 0;
16, 0;
16, 0;
16, 0;
16, 0;
16, 0;
14, 0;
14, 0;
15, 0;
12, 0;
15, 0;
15, 0;
15, 0;
15, 0;
15, 0;
15, 0;
15, 0;
15, 0;
